company_name,company_slug,website,yc_directory_url,detected_board_type,selected_url,board_token,board_url,api_url,confirmation_status,job_count,endpoint_http_status,notes
Abundant,abundant,https://www.abundant.ai/,https://www.ycombinator.com/companies/abundant,ashby,https://www.abundant.ai/,abundant,https://jobs.ashbyhq.com/abundant,https://api.ashbyhq.com/posting-api/job-board/abundant?includeCompensation=true,live_jobs,3,200,
Accord,accord,https://inaccord.com,https://www.ycombinator.com/companies/accord,ashby,https://inaccord.com/company/about#careers,Accord,https://jobs.ashbyhq.com/Accord,https://api.ashbyhq.com/posting-api/job-board/Accord?includeCompensation=true,live_jobs,2,200,
AfterQuery,afterquery,https://afterquery.com,https://www.ycombinator.com/companies/afterquery,ashby,https://www.afterquery.com/careers,AfterQuery,https://jobs.ashbyhq.com/AfterQuery,https://api.ashbyhq.com/posting-api/job-board/AfterQuery?includeCompensation=true,live_jobs,26,200,
AiPrise,aiprise,https://aiprise.com/,https://www.ycombinator.com/companies/aiprise,ashby,https://www.aiprise.com/,aiprise,https://jobs.ashbyhq.com/aiprise,https://api.ashbyhq.com/posting-api/job-board/aiprise?includeCompensation=true,live_jobs,10,200,
Aleph,aleph,https://getaleph.com/,https://www.ycombinator.com/companies/aleph,ashby,https://www.getaleph.com/careers,aleph,https://jobs.ashbyhq.com/aleph,https://api.ashbyhq.com/posting-api/job-board/aleph?includeCompensation=true,live_jobs,7,200,
Ambient.ai,ambient-ai,https://ambient.ai,https://www.ycombinator.com/companies/ambient-ai,ashby,https://www.ambient.ai/careers,ambient.ai,https://jobs.ashbyhq.com/ambient.ai,https://api.ashbyhq.com/posting-api/job-board/ambient.ai?includeCompensation=true,live_jobs,19,200,
Anara,anara,https://anara.com,https://www.ycombinator.com/companies/anara,ashby,https://anara.com/,anara,https://jobs.ashbyhq.com/anara,https://api.ashbyhq.com/posting-api/job-board/anara?includeCompensation=true,live_jobs,4,200,
Apolink,apolink,https://apolink.space,https://www.ycombinator.com/companies/apolink,ashby,https://apolink.space/careers,apolink,https://jobs.ashbyhq.com/apolink,https://api.ashbyhq.com/posting-api/job-board/apolink?includeCompensation=true,live_jobs,3,200,
Apollo,apollo,http://apollographql.com/,https://www.ycombinator.com/companies/apollo,ashby,https://www.apollographql.com/careers,apollo-graphql,https://jobs.ashbyhq.com/apollo-graphql,https://api.ashbyhq.com/posting-api/job-board/apollo-graphql?includeCompensation=true,live_jobs,9,200,
Arini,arini,https://www.arini.ai,https://www.ycombinator.com/companies/arini,ashby,https://www.arini.ai/careers,arini,https://jobs.ashbyhq.com/arini,https://api.ashbyhq.com/posting-api/job-board/arini?includeCompensation=true,live_jobs,1,200,
Arketa,arketa,https://arketa.com,https://www.ycombinator.com/companies/arketa,ashby,https://www.arketa.com/careers,arketa,https://jobs.ashbyhq.com/arketa,https://api.ashbyhq.com/posting-api/job-board/arketa?includeCompensation=true,live_jobs,10,200,
Artie,artie,https://www.artie.com/,https://www.ycombinator.com/companies/artie,ashby,https://www.artie.com/careers,artie,https://jobs.ashbyhq.com/artie,https://api.ashbyhq.com/posting-api/job-board/artie?includeCompensation=true,live_jobs,5,200,
Ashby,ashby,https://www.ashbyhq.com,https://www.ycombinator.com/companies/ashby,ashby,https://www.ashbyhq.com/,,,,unresolved_board_token,0,200,no_ashby_org_found
AssemblyAI,assemblyai,https://www.assemblyai.com,https://www.ycombinator.com/companies/assemblyai,greenhouse,https://www.assemblyai.com/careers,assemblyai,https://job-boards.greenhouse.io/assemblyai,https://boards-api.greenhouse.io/v1/boards/assemblyai/jobs?content=true,live_jobs,6,200,
Astranis,astranis,http://www.astranis.com,https://www.ycombinator.com/companies/astranis,greenhouse,https://www.astranis.com/careers,astranis,https://job-boards.greenhouse.io/astranis,https://boards-api.greenhouse.io/v1/boards/astranis/jobs?content=true,live_jobs,136,200,
Astro Mechanica,astro-mechanica,https://astromecha.co/,https://www.ycombinator.com/companies/astro-mechanica,ashby,https://www.astromecha.co/careers,Astro-Mechanica,https://jobs.ashbyhq.com/Astro-Mechanica,https://api.ashbyhq.com/posting-api/job-board/Astro-Mechanica?includeCompensation=true,live_jobs,38,200,
Athelas,athelas,http://athelas.com,https://www.ycombinator.com/companies/athelas,ashby,https://www.athelas.com/careers,Commure,https://jobs.ashbyhq.com/Commure,https://api.ashbyhq.com/posting-api/job-board/Commure?includeCompensation=true,live_jobs,75,200,
AthenaHQ,athenahq,https://www.athenahq.ai,https://www.ycombinator.com/companies/athenahq,ashby,https://athenahq.ai/careers,athena-hq,https://jobs.ashbyhq.com/athena-hq,https://api.ashbyhq.com/posting-api/job-board/athena-hq?includeCompensation=true,live_jobs,5,200,
Atlas,atlas-3,https://atlascard.com,https://www.ycombinator.com/companies/atlas-3,ashby,https://atlascard.com/,atlas,https://jobs.ashbyhq.com/atlas,https://api.ashbyhq.com/posting-api/job-board/atlas?includeCompensation=true,live_jobs,6,200,
AtoB,atob,https://atob.com/,https://www.ycombinator.com/companies/atob,ashby,https://www.atob.com/careers,atob,https://jobs.ashbyhq.com/atob,https://api.ashbyhq.com/posting-api/job-board/atob?includeCompensation=true,live_jobs,13,200,
Atomic,atomic,https://www.atomicvest.com/,https://www.ycombinator.com/companies/atomic,ashby,https://www.atomicvest.com/careers,atomic-invest,https://jobs.ashbyhq.com/atomic-invest,https://api.ashbyhq.com/posting-api/job-board/atomic-invest?includeCompensation=true,live_jobs,3,200,
Automat,automat,https://www.runautomat.com/,https://www.ycombinator.com/companies/automat,ashby,https://runautomat.com/careers,,,,unresolved_board_token,0,200,no_ashby_org_found
Axel Travel,axel-travel,https://helloaxel.com/,https://www.ycombinator.com/companies/axel-travel,ashby,https://helloaxel.com/en/careers,Axel,https://jobs.ashbyhq.com/Axel,https://api.ashbyhq.com/posting-api/job-board/Axel?includeCompensation=true,live_jobs,1,200,
Axle Health,axle-health,https://www.axlehealth.com,https://www.ycombinator.com/companies/axle-health,ashby,https://www.axlehealth.com/careers,axle-health,https://jobs.ashbyhq.com/axle-health,https://api.ashbyhq.com/posting-api/job-board/axle-health?includeCompensation=true,live_jobs,6,200,
Bankjoy,bankjoy,http://bankjoy.com,https://www.ycombinator.com/companies/bankjoy,ashby,https://bankjoy.com/jobs,bankjoy,https://jobs.ashbyhq.com/bankjoy,https://api.ashbyhq.com/posting-api/job-board/bankjoy?includeCompensation=true,live_jobs,8,200,
Benepass,benepass,http://www.getbenepass.com,https://www.ycombinator.com/companies/benepass,ashby,https://getbenepass.com/,benepass,https://jobs.ashbyhq.com/benepass,https://api.ashbyhq.com/posting-api/job-board/benepass?includeCompensation=true,live_jobs,11,200,
BillionToOne,billiontoone,https://www.billiontoone.com,https://www.ycombinator.com/companies/billiontoone,greenhouse,https://www.billiontoone.com/careers/open-positions,,,,unresolved_board_token,0,200,no_greenhouse_token_found
Bitmovin,bitmovin,http://bitmovin.com,https://www.ycombinator.com/companies/bitmovin,greenhouse,https://bitmovin.com/,,,,unresolved_board_token,0,403,no_greenhouse_token_found
Bland AI,bland-ai,https://bland.com,https://www.ycombinator.com/companies/bland-ai,ashby,https://jobs.ashbyhq.com/bland,bland,https://jobs.ashbyhq.com/bland,https://api.ashbyhq.com/posting-api/job-board/bland?includeCompensation=true,live_jobs,12,200,
Blaxel,blaxel,https://blaxel.ai,https://www.ycombinator.com/companies/blaxel,ashby,https://blaxel.ai/,blaxel,https://jobs.ashbyhq.com/blaxel,https://api.ashbyhq.com/posting-api/job-board/blaxel?includeCompensation=true,live_jobs,3,200,
Blee,blee,https://www.blee.com,https://www.ycombinator.com/companies/blee,ashby,https://www.blee.com/careers,Blee,https://jobs.ashbyhq.com/Blee,https://api.ashbyhq.com/posting-api/job-board/Blee?includeCompensation=true,live_jobs,8,200,
Blissway,blissway,https://www.blissway.com/,https://www.ycombinator.com/companies/blissway,ashby,https://www.blissway.com/,blissway,https://jobs.ashbyhq.com/blissway,https://api.ashbyhq.com/posting-api/job-board/blissway?includeCompensation=true,live_jobs,6,200,
Bloom Institute of Technology,bloom-institute-of-technology,https://www.bloomtech.com,https://www.ycombinator.com/companies/bloom-institute-of-technology,lever,https://www.bloomtech.com/careers,,,,endpoint_error,0,404,http_404
Blue Onion,blue-onion,https://www.blueonion.ai/,https://www.ycombinator.com/companies/blue-onion,ashby,https://www.blueonion.ai/,,,,endpoint_error,0,404,http_404
Bretton AI,bretton-ai,https://www.bretton.com/,https://www.ycombinator.com/companies/bretton-ai,ashby,https://www.bretton.com/careers,brettonai,https://jobs.ashbyhq.com/brettonai,https://api.ashbyhq.com/posting-api/job-board/brettonai?includeCompensation=true,live_jobs,8,200,
BuildZoom,buildzoom,https://www.buildzoom.com,https://www.ycombinator.com/companies/buildzoom,lever,https://www.buildzoom.com/careers,,,,endpoint_error,0,404,http_404
Bunkerhill Health,bunkerhill-health,http://bunkerhillhealth.com,https://www.ycombinator.com/companies/bunkerhill-health,ashby,https://www.bunkerhillhealth.com/careers,bunkerhillhealth,https://jobs.ashbyhq.com/bunkerhillhealth,https://api.ashbyhq.com/posting-api/job-board/bunkerhillhealth?includeCompensation=true,live_jobs,6,200,
Cambio,cambio-2,https://www.cambio.ai/,https://www.ycombinator.com/companies/cambio-2,ashby,https://www.cambio.ai/careers,cambio,https://jobs.ashbyhq.com/cambio,https://api.ashbyhq.com/posting-api/job-board/cambio?includeCompensation=true,live_jobs,2,200,
Cambly,cambly,http://www.cambly.com,https://www.ycombinator.com/companies/cambly,ashby,https://jobs.cambly.com/,Cambly,https://jobs.ashbyhq.com/Cambly,https://api.ashbyhq.com/posting-api/job-board/Cambly?includeCompensation=true,live_jobs,12,200,
Campfire,campfire-2,https://campfire.ai,https://www.ycombinator.com/companies/campfire-2,ashby,https://campfire.ai/careers,campfire,https://jobs.ashbyhq.com/campfire,https://api.ashbyhq.com/posting-api/job-board/campfire?includeCompensation=true,live_jobs,25,200,
Canary Technologies,canary-technologies,https://www.canarytechnologies.com,https://www.ycombinator.com/companies/canary-technologies,lever,https://www.canarytechnologies.com/jobs,canarytechnologies,https://jobs.lever.co/canarytechnologies,https://api.lever.co/v0/postings/canarytechnologies?mode=json,live_jobs,43,200,
Candid Health,candid-health,https://www.joincandidhealth.com,https://www.ycombinator.com/companies/candid-health,ashby,https://candidhealth.com/careers,candidhealth,https://jobs.ashbyhq.com/candidhealth,https://api.ashbyhq.com/posting-api/job-board/candidhealth?includeCompensation=true,live_jobs,36,200,
Capy,capy,https://capy.ai,https://www.ycombinator.com/companies/capy,ashby,https://capy.ai/careers,capy,https://jobs.ashbyhq.com/capy,https://api.ashbyhq.com/posting-api/job-board/capy?includeCompensation=true,live_jobs,2,200,
Cargo,cargo,https://getcargo.io,https://www.ycombinator.com/companies/cargo,greenhouse,https://www.getcargo.ai/jobs,,,,endpoint_error,0,404,http_404
Casca,casca,https://www.cascading.ai/,https://www.ycombinator.com/companies/casca,ashby,https://www.cascading.ai/,casca,https://jobs.ashbyhq.com/casca,https://api.ashbyhq.com/posting-api/job-board/casca?includeCompensation=true,live_jobs,11,200,
Charge Robotics,charge-robotics,https://chargerobotics.com/,https://www.ycombinator.com/companies/charge-robotics,ashby,https://chargerobotics.com/,charge-robotics,https://jobs.ashbyhq.com/charge-robotics,https://api.ashbyhq.com/posting-api/job-board/charge-robotics?includeCompensation=true,live_jobs,10,200,
Cinder,cinder-2,https://cinder.ai,https://www.ycombinator.com/companies/cinder-2,ashby,https://cinder.ai/careers,cinder,https://jobs.ashbyhq.com/cinder,https://api.ashbyhq.com/posting-api/job-board/cinder?includeCompensation=true,live_jobs,8,200,
Claim Health,claim-health,https://www.claimhealth.com,https://www.ycombinator.com/companies/claim-health,ashby,https://www.claimhealth.com/,claim-health,https://jobs.ashbyhq.com/claim-health,https://api.ashbyhq.com/posting-api/job-board/claim-health?includeCompensation=true,live_jobs,6,200,
Clearly AI,clearly-ai,https://clearly-ai.com,https://www.ycombinator.com/companies/clearly-ai,ashby,https://clearly-ai.com/blog/seed-round,clearly-ai,https://jobs.ashbyhq.com/clearly-ai,https://api.ashbyhq.com/posting-api/job-board/clearly-ai?includeCompensation=true,live_jobs,7,200,
Clipboard,clipboard,https://www.clipboardworks.com/careers,https://www.ycombinator.com/companies/clipboard,ashby,https://www.clipboardworks.com/careers,clipboard,https://jobs.ashbyhq.com/clipboard,https://api.ashbyhq.com/posting-api/job-board/clipboard?includeCompensation=true,live_jobs,48,200,
Codes Health,codes-health,https://www.codeshealth.com/,https://www.ycombinator.com/companies/codes-health,ashby,https://www.getcodeshealth.com/use-cases,codes-health,https://jobs.ashbyhq.com/codes-health,https://api.ashbyhq.com/posting-api/job-board/codes-health?includeCompensation=true,live_jobs,8,200,
Cofactr,cofactr,https://www.cofactr.com/,https://www.ycombinator.com/companies/cofactr,lever,https://www.cofactr.com/,Cofactr,https://jobs.lever.co/Cofactr,https://api.lever.co/v0/postings/Cofactr?mode=json,board_reachable_zero_jobs,0,200,
Collectly,collectly,http://collectly.co/,https://www.ycombinator.com/companies/collectly,lever,https://www.collectly.co/,CollectlyInc,https://jobs.lever.co/CollectlyInc,https://api.lever.co/v0/postings/CollectlyInc?mode=json,live_jobs,12,200,
Concourse,concourse,https://concourse.co/,https://www.ycombinator.com/companies/concourse,ashby,https://www.concourse.co/,concourse,https://jobs.ashbyhq.com/concourse,https://api.ashbyhq.com/posting-api/job-board/concourse?includeCompensation=true,live_jobs,12,200,
Confido,confido,https://www.confidotech.com,https://www.ycombinator.com/companies/confido,ashby,https://www.confidotech.com/careers,confido,https://jobs.ashbyhq.com/confido,https://api.ashbyhq.com/posting-api/job-board/confido?includeCompensation=true,live_jobs,26,200,
Constellation Space,constellation-space,https://constellation.space/,https://www.ycombinator.com/companies/constellation-space,ashby,https://constellation.space/,constellationspace,https://jobs.ashbyhq.com/constellationspace,https://api.ashbyhq.com/posting-api/job-board/constellationspace?includeCompensation=true,live_jobs,4,200,
Coperniq,coperniq,https://coperniq.io,https://www.ycombinator.com/companies/coperniq,ashby,https://coperniq.io/integrations,Coperniq,https://jobs.ashbyhq.com/Coperniq,https://api.ashbyhq.com/posting-api/job-board/Coperniq?includeCompensation=true,live_jobs,1,200,
Coris,coris,https://coris.ai/,https://www.ycombinator.com/companies/coris,ashby,https://www.coris.ai/,,,,endpoint_error,0,404,http_404
Courtyard.io,courtyard-io,https://courtyard.io,https://www.ycombinator.com/companies/courtyard-io,greenhouse,https://job-boards.greenhouse.io/courtyardinc,courtyardinc,https://job-boards.greenhouse.io/courtyardinc,https://boards-api.greenhouse.io/v1/boards/courtyardinc/jobs?content=true,live_jobs,8,200,
Credal.ai,credal-ai,https://credal.ai,https://www.ycombinator.com/companies/credal-ai,ashby,https://credal.ai/careers,credal,https://jobs.ashbyhq.com/credal,https://api.ashbyhq.com/posting-api/job-board/credal?includeCompensation=true,live_jobs,7,200,
CTGT,ctgt,https://www.ctgt.ai/,https://www.ycombinator.com/companies/ctgt,ashby,https://www.ctgt.ai/,ctgt,https://jobs.ashbyhq.com/ctgt,https://api.ashbyhq.com/posting-api/job-board/ctgt?includeCompensation=true,live_jobs,2,200,
Curri,curri,http://www.curri.com,https://www.ycombinator.com/companies/curri,ashby,https://www.curri.com/careers,curri,https://jobs.ashbyhq.com/curri,https://api.ashbyhq.com/posting-api/job-board/curri?includeCompensation=true,live_jobs,24,200,
Datafold,datafold,https://datafold.com,https://www.ycombinator.com/companies/datafold,ashby,https://www.datafold.com/careers/,datafold,https://jobs.ashbyhq.com/datafold,https://api.ashbyhq.com/posting-api/job-board/datafold?includeCompensation=true,live_jobs,1,200,
David AI,david-ai,https://www.withdavid.ai/,https://www.ycombinator.com/companies/david-ai,ashby,https://www.withdavid.ai/jobs,david-ai,https://jobs.ashbyhq.com/david-ai,https://api.ashbyhq.com/posting-api/job-board/david-ai?includeCompensation=true,live_jobs,11,200,
Decoda Health,decoda-health,https://decodahealth.com/,https://www.ycombinator.com/companies/decoda-health,ashby,https://decodahealth.com/,decodahealth,https://jobs.ashbyhq.com/decodahealth,https://api.ashbyhq.com/posting-api/job-board/decodahealth?includeCompensation=true,live_jobs,4,200,
Dedalus Labs,dedalus-labs,https://www.dedaluslabs.ai/,https://www.ycombinator.com/companies/dedalus-labs,ashby,https://www.dedaluslabs.ai/careers,dedalus-labs,https://jobs.ashbyhq.com/dedalus-labs,https://api.ashbyhq.com/posting-api/job-board/dedalus-labs?includeCompensation=true,live_jobs,1,200,
DirectShifts,directshifts,https://directshifts.com,https://www.ycombinator.com/companies/directshifts,greenhouse,https://www.directshifts.com/careers,,,,endpoint_error,0,404,http_404
doola,doola,https://www.doola.com/,https://www.ycombinator.com/companies/doola,lever,https://www.doola.com/careers/,doola,https://jobs.lever.co/doola,https://api.lever.co/v0/postings/doola?mode=json,live_jobs,8,200,
Double,doublehq,https://www.doublehq.com,https://www.ycombinator.com/companies/doublehq,ashby,https://doublehq.com/,double,https://jobs.ashbyhq.com/double,https://api.ashbyhq.com/posting-api/job-board/double?includeCompensation=true,live_jobs,5,200,
Dyneti Technologies,dyneti-technologies,http://www.dyneti.com,https://www.ycombinator.com/companies/dyneti-technologies,ashby,https://s.dyneti.com/careers/,dyneti,https://jobs.ashbyhq.com/dyneti,https://api.ashbyhq.com/posting-api/job-board/dyneti?includeCompensation=true,live_jobs,9,200,
Edexia,edexia,https://www.edexia.com/,https://www.ycombinator.com/companies/edexia,lever,https://www.edexia.com/,,,,endpoint_error,0,404,http_404
Ekho,ekho,https://www.ekho.com,https://www.ycombinator.com/companies/ekho,ashby,https://www.ekho.com/careers/,ekho,https://jobs.ashbyhq.com/ekho,https://api.ashbyhq.com/posting-api/job-board/ekho?includeCompensation=true,live_jobs,8,200,
Electric Air,electric-air-2,https://www.electricair.io/,https://www.ycombinator.com/companies/electric-air-2,ashby,https://www.electricair.io/careers,electricair,https://jobs.ashbyhq.com/electricair,https://api.ashbyhq.com/posting-api/job-board/electricair?includeCompensation=true,live_jobs,5,200,
Ello,ello,https://www.ello.com,https://www.ycombinator.com/companies/ello,ashby,https://www.ello.com/,ello,https://jobs.ashbyhq.com/ello,https://api.ashbyhq.com/posting-api/job-board/ello?includeCompensation=true,live_jobs,4,200,
Eloquent AI,eloquent-ai,https://www.eloquentai.co/,https://www.ycombinator.com/companies/eloquent-ai,ashby,https://www.eloquentai.co/careers,eloquentai,https://jobs.ashbyhq.com/eloquentai,https://api.ashbyhq.com/posting-api/job-board/eloquentai?includeCompensation=true,live_jobs,12,200,
Embrace,embrace,https://embrace.io,https://www.ycombinator.com/companies/embrace,greenhouse,https://embrace.io/,embrace,https://job-boards.greenhouse.io/embrace,https://boards-api.greenhouse.io/v1/boards/embrace/jobs?content=true,live_jobs,8,200,
Escape,escape,https://escape.tech,https://www.ycombinator.com/companies/escape,ashby,https://escape.tech/careers,escape,https://jobs.ashbyhq.com/escape,https://api.ashbyhq.com/posting-api/job-board/escape?includeCompensation=true,live_jobs,9,200,
Every,every,https://every.io/,https://www.ycombinator.com/companies/every,ashby,https://www.every.io/,every-io,https://jobs.ashbyhq.com/every-io,https://api.ashbyhq.com/posting-api/job-board/every-io?includeCompensation=true,live_jobs,4,200,
F2,f2,http://f2.ai,https://www.ycombinator.com/companies/f2,ashby,https://f2.ai/,f2-ai,https://jobs.ashbyhq.com/f2-ai,https://api.ashbyhq.com/posting-api/job-board/f2-ai?includeCompensation=true,live_jobs,10,200,
Farcast,farcast,https://www.farcast.com/,https://www.ycombinator.com/companies/farcast,lever,https://www.farcast.com/,Farcast,https://jobs.lever.co/Farcast,https://api.lever.co/v0/postings/Farcast?mode=json,live_jobs,1,200,
Fathom,fathom,https://www.fathom.ai,https://www.ycombinator.com/companies/fathom,ashby,https://www.fathom.ai/,fathom.video,https://jobs.ashbyhq.com/fathom.video,https://api.ashbyhq.com/posting-api/job-board/fathom.video?includeCompensation=true,live_jobs,8,200,
Fernstone,fernstone,https://www.fernstone.com,https://www.ycombinator.com/companies/fernstone,ashby,https://fernstone.com/,fernstone,https://jobs.ashbyhq.com/fernstone,https://api.ashbyhq.com/posting-api/job-board/fernstone?includeCompensation=true,live_jobs,1,200,
Fieldguide,fieldguide,http://fieldguide.io,https://www.ycombinator.com/companies/fieldguide,ashby,https://www.fieldguide.io/careers,fieldguide,https://jobs.ashbyhq.com/fieldguide,https://api.ashbyhq.com/posting-api/job-board/fieldguide?includeCompensation=true,live_jobs,37,200,
Finch,finch,https://tryfinch.com,https://www.ycombinator.com/companies/finch,lever,https://www.tryfinch.com/,finch,https://jobs.lever.co/finch,https://api.lever.co/v0/postings/finch?mode=json,live_jobs,10,200,
Finvest,finvest,https://www.getfinvest.com/,https://www.ycombinator.com/companies/finvest,ashby,https://www.getfinvest.com/,finvest,https://jobs.ashbyhq.com/finvest,https://api.ashbyhq.com/posting-api/job-board/finvest?includeCompensation=true,live_jobs,5,200,
Firstbase.io,firstbase-io,https://firstbase.io/,https://www.ycombinator.com/companies/firstbase-io,ashby,https://www.firstbase.io/careers,,,,endpoint_error,0,404,http_404
Flagright,flagright,https://flagright.com,https://www.ycombinator.com/companies/flagright,ashby,https://jobs.ashbyhq.com/flagright.com,flagright.com,https://jobs.ashbyhq.com/flagright.com,https://api.ashbyhq.com/posting-api/job-board/flagright.com?includeCompensation=true,live_jobs,36,200,
Flai,flai,https://www.useflai.com/,https://www.ycombinator.com/companies/flai,ashby,https://www.useflai.com/,flai,https://jobs.ashbyhq.com/flai,https://api.ashbyhq.com/posting-api/job-board/flai?includeCompensation=true,live_jobs,5,200,
Freshpaint,freshpaint,https://freshpaint.io,https://www.ycombinator.com/companies/freshpaint,ashby,https://www.freshpaint.io/careers,freshpaint,https://jobs.ashbyhq.com/freshpaint,https://api.ashbyhq.com/posting-api/job-board/freshpaint?includeCompensation=true,live_jobs,8,200,
